
央视频道,#genre#

CCTV-13新闻,http://38.75.136.137:98/gslb/dsdqbv/cctv13hd.m3u8?auth=test20251009
CCTV-13新闻,http://38.75.136.137:98/gslb/dsdqpub/cctv13hd.m3u8?auth=testpub
CCTV-13新闻,https://t.freetv.fun/live/cctv13-1.m3u8
CCTV-4K,http://38.75.136.137:98/gslb/dsdqpub/cctv4k.m3u8?auth=testpub

CCTV-1综合,http://43.175.97.11/hlslive-tx-cdn.ysp.cctv.cn/ysp/2024078203_dlna.m3u8


CCTV-1综合,http://74.91.26.218:82/live/cctv1hd.m3u8
CCTV-2财经,http://74.91.26.218:82/live/cctv2hd.m3u8
CCTV-3综艺,http://74.91.26.218:82/live/cctv3hd.m3u8
CCTV-4国际,http://74.91.26.218:82/live/cctv4hd.m3u8
CCTV-5体育,http://74.91.26.218:82/live/cctv5hd.m3u8
CCTV-5+赛事,https://t.freetv.fun/live/cctv5-plus-5.m3u8
CCTV-6电影,http://74.91.26.218:82/live/cctv6hd.m3u8
CCTV-7军事,http://74.91.26.218:82/live/cctv7hd.m3u8
CCTV-8电视剧,http://74.91.26.218:82/live/cctv8hd.m3u8
CCTV-9纪录,http://74.91.26.218:82/live/cctv9hd.m3u8
CCTV-10科教,http://74.91.26.218:82/live/cctv10hd.m3u8
CCTV-11戏曲,http://74.91.26.218:82/live/cctv11hd.m3u8
CCTV-12社会,http://74.91.26.218:82/live/cctv12hd.m3u8
CCTV-13新闻,http://74.91.26.218:82/live/cctv13hd.m3u8
CCTV-14少儿,http://74.91.26.218:82/live/cctv14hd.m3u8
CCTV-15音乐,http://74.91.26.218:82/live/cctv15hd.m3u8
CCTV-16奥运,http://74.91.26.218:82/live/cctv16hd.m3u8
CCTV-17农村,http://74.91.26.218:82/live/cctv17hd.m3u8

CCTV-1综合,http://69.30.245.50/live/cctv1.m3u8
CCTV-2财经,http://69.30.245.50/live/cctv2.m3u8
CCTV-3综艺,http://69.30.245.50/live/cctv3.m3u8
CCTV-4国际,http://69.30.245.50/live/cctv4.m3u8
CCTV-5体育,http://69.30.245.50/live/cctv5.m3u8
CCTV-6电影,http://69.30.245.50/live/cctv6.m3u8
CCTV-7军事,http://69.30.245.50/live/cctv7.m3u8
CCTV-8电视剧,http://69.30.245.50/live/cctv8.m3u8
CCTV-9纪录,http://69.30.245.50/live/cctv9.m3u8
CCTV-10科教,http://69.30.245.50/live/cctv10.m3u8

CCTV-1综合,http://69.30.246.194/live/cctv1.m3u8
CCTV-2财经,http://69.30.246.194/live/cctv2.m3u8
CCTV-3综艺,http://69.30.246.194/live/cctv3.m3u8
CCTV-4国际,http://69.30.246.194/live/cctv4.m3u8
CCTV-5体育,http://69.30.246.194/live/cctv5.m3u8
CCTV-5+赛事,http://69.30.246.194/live/cctv5p.m3u8
CCTV-6电影,http://69.30.246.194/live/cctv6.m3u8
CCTV-7军事,http://69.30.246.194/live/cctv7.m3u8
CCTV-8电视剧,http://69.30.246.194/live/cctv8.m3u8
CCTV-9纪录,http://69.30.246.194/live/cctv9.m3u8
CCTV-10科教,http://69.30.246.194/live/cctv10.m3u8
CCTV-11戏曲,http://69.30.246.194/live/cctv11.m3u8
CCTV-12社会,http://69.30.246.194/live/cctv12.m3u8
CCTV-13新闻,http://69.30.246.194/live/cctv13.m3u8
CCTV-14少儿,http://69.30.246.194/live/cctv14.m3u8
CCTV-15音乐,http://69.30.246.194/live/cctv15.m3u8
